Företagsnamn,Organisationsnummer,Telefonnummer,Adress
Actio AB,556754-9679,,"Kungsgatan 2 Bv, 572 30 Oskarshamn"
Jonas Lilja Design AB,556756-3472,Telefon 0155-21 80 30,"c/o LILJA-STENHOLM, Tallbovägen 6 a, 737 90 Ängelsberg"
Utemiljögruppen i Sundsvall AB,556757-1988,,"Rubinvägen 1, 852 40 Sundsvall"
Mats Hansson Arkitektkontor AB,556757-3521,,"c/o MATS HANSSON, Skräddargränd 2 a, 111 27 Stockholm"
ZQT Landrelations AB,556758-7109,Telefon 070-550 49 56,"Strandvallen 1, 805 95 Gävle"
Björk Group AB,556758-9584,Telefon 031-339 03 90,"Stampgatan 8 3tr, 411 03 Göteborg"
La Ville arkitekter AB,556759-9500,,"Sankt Eriksgatan 106, 113 31 Stockholm"
Villemera AB,556760-1363,Telefon 070-876 81 11,Stockholm
Living Design Holding Stockholm AB,556761-3566,,"Brovägen 1, 182 76 Stocksund"
Beauty Fuel AB,556764-2326,,"Pålsundsgatan 3 a, 117 31 Stockholm"
Campus Arkitekter AB,556764-7317,,"Katarina Västra Kyrkogata 8, 116 25 Stockholm"
ORIGO arkitekter Holding AB,556767-5375,,"Parmmätargatan 5, 112 24 Stockholm"
arconi projektering AB,556769-2909,,"Stationsgatan 1, 871 45 Härnösand"
Emil & Herman AB,556769-6546,,"Aschebergsgatan 35, 411 33 Göteborg"
SWETEC Fastighetsservice AB,556770-4035,Telefon 08-550 045 00,"Snickarvägen 13, 132 38 Saltsjö-Boo"
escandi AB,556770-6717,Telefon 070-684 28 81,"Vakthundsvägen 12, 231 92 Trelleborg"
Vicklebo AB,556771-0347,,"Follingbo Hagvards 284, 621 91 Visby"
Anette & Björn Schumacher Aktiebolag,556773-4081,,"Hornsgatan 60, 118 21 Stockholm"
Cecilia Steen Arkitekt AB,556773-7324,,"Örgryte Stomgata 24, 412 67 Göteborg"
TIME2CREATE AB,556773-7407,,"Öresjövägen 6 a, 269 36 Båstad"
cbolabs AB,556776-4898,Telefon 0431-36 32 03,"Wulffs Gata 7, 269 77 Torekov"
ÅF Design i Jönköping AB,556778-5539,Telefon 073-156 13 88,"Notdragargatan 5, 566 35 Habo"
Ciceron Project Management AB,556780-5378,Telefon 08-555 150 90,"Repslagargatan 15 b, 118 46 Stockholm"
Done Doer 217 AB,556782-7885,Telefon 031-15 10 20,"Tillfällavägen 15, 433 63 Sävedalen"
Scapa Flow AB,556784-1563,Telefon 070-941 59 71,"Nybrogatan 16, 114 39 Stockholm"
Egedius & Co AB,556787-2584,,"Höggårdsvägen 4, 181 57 Lidingö"
Propå Projekt AB,556788-4878,,"Linnégatan 56, 413 08 Göteborg"
Hugg Design AB,556789-0263,,"Berglärkan 29, 426 69 Västra Frölunda"
Aediculae AB,556790-0740,,Stockholm
Kellermats arkitektur AB,556790-4445,,"Brunflovägen 40, 831 44 Östersund"
Home of Happiness AB,556791-2687,Telefon 08-777 41 01,"Kvarntorpsvägen 14, 136 47 Haninge"
6-Eyes AB,556792-4591,,"Korgbollsvägen 6, 151 59 Södertälje"
AS DESIGN Möbler AB,556794-7170,,"Rabovägen 7, 816 30 Ockelbo"
CH Concept AB,556797-4174,,"Kustgatan 12, 414 56 Göteborg"
Lawless-Adams architects Sweden AB,556800-8816,Telefon 073-059 54 27,"Södra Långvägen 45, 443 38 Lerum"
Imatematik AB,556802-2981,Telefon 070-776 50 33,"Hospitalsgatan 4 b, 211 33 Malmö"
Style for Life AB,556804-7269,,"Tingsgatan 21, 661 40 Säffle"
Lekfull Design AB,556804-8481,,"Porfyrstigen 20, 196 33 Kungsängen"
Sujeewa AB,556806-0692,,"Flåhackebacken 24, 135 33 Tyresö"
Garden by Anna Carolina AB,556808-3595,,"Hesselmans Torg 5 4tr, 131 54 Nacka"
Göran Olsson Arkitektfirma Aktiebolag,556809-6001,,"Dellensvägen 7, 120 58 Årsta"
Interia AB,556810-0316,,"Prästvägen 26, 141 42 Huddinge"
AB Quality Architects i Sverige,556812-0520,,"Kungsängsgatan 23, 753 22 Uppsala"
Teicom Group AB,556812-5248,Telefon 070-021 30 15,"Övre Östergårdsvägen 36, 433 76 Jonsered"
Storesund Arkitektkontor AB,556814-8943,,"Mörbyhöjden 20 8tr, 182 32 Danderyd"
Tkjc - Service AB,556815-9130,,"Tallstigen 7 a, 146 40 Tullinge"
LCE i Linköping AB,556818-0177,,"Nätvingestigen 18, 587 29 Linköping"
BASC O Interiör AB,556819-6355,,"Idsättratorpsvägen 29, 184 70 Åkersberga"
Charlotta Hülphers interiör AB,556819-7601,Telefon 073-513 66 05,"Borgvägen 28, 192 55 Sollentuna"
AR Arkitekter AB,556820-5818,Telefon 073-961 44 42,"Mattvägen 7, 168 74 Bromma"
JoAnnTanStudio AB,556823-1434,Telefon 08-762 83 83,"Lästmakargatan 18, 111 44 Stockholm"
Måleri & Design Oskarshamn AB,556823-4479,Telefon 0491-135 95,"Slottsgränd 3, 572 55 Oskarshamn"
Appelquist Architect AB,556824-9873,,"Karlbergsvägen 52 Lgh 1404, 113 37 Stockholm"
Milton House Rådgivning AB,556825-2158,,"Nabbavägen 52, 263 72 Skäret"
Blå Arkitekturdesign i Malmö AB,556825-3610,,"Kattegattsvägen 16 b, 432 50 Varberg"
Fanellie AB,556825-7397,,"c/o Prokab, Box 4298, 203 14 Malmö"
UNP Fastigheter AB,556827-9649,Telefon 08-545 478 80,"Karlbergsvägen 55, 113 35 Stockholm"
Setterberg & Stibeck Partners AB,556829-2980,,"Brantingsgatan 48 Nb, 115 35 Stockholm"
Xclbr Arkitekter AB,556829-3004,,Åkersberga
Helhetshus Arkitektstudio i Sverige AB,556829-9969,Telefon 031-711 12 15,"Surbrunnsgatan 6, 411 19 Göteborg"
Forma Natura AB,556830-9099,,"Rektor Cullbergs Väg 11, 193 35 Sigtuna"
ByteNet AB,556831-4891,,Norrköping
Åsberg Interiör & Styling i Göteborg AB,556832-8271,,"Stensprängaregatan 16, 426 68 Västra Frölunda"
KeeSo AB,556833-5474,,"Erikslundsvägen 5, 973 42 Luleå"
Framtidsstaden Kungshatt AB,556835-3808,,"Bågvägen 3, 181 46 Lidingö"
JOJ AB,556836-1843,,"Storgatan 27, 972 32 Luleå"
Skärhamns Hem AB,556836-8541,,"Krabbevägen 3, 471 33 Skärhamn"
Ankarhagen AB,556838-3532,,Stockholm
CA Arkitektur AB,556839-3911,,"Fredrikshögsgatan 14, 903 36 Umeå"
Willfox Design & Development AB,556839-6484,,"Bispberg Herrgård Bispberg 160, 783 90 Säter"
NS GERGER AB,556840-0757,,"Attundavägen 2 Lgh 131, 183 34 Täby"
Costa den Blanes AB,556841-1432,,"Bülow Hübes Väg 14, 216 18 Limhamn"
Totalhälsa i Skandinavien AB,556844-4581,,"Norra Agnegatan 40, 112 29 Stockholm"
Creationista Aktiebolag,556845-4226,,"Parkslingan 26, 178 51 Ekerö"
Styleby Lovesand AB,556846-1700,,"Svartmesvägen 4, 178 39 Ekerö"
FLASH OF GENIUS AB,556847-3119,Telefon 076-146 79 30,"Riddersviksvägen 172, 165 72 Hässelby"
Scandinavia 24 AB,556847-4422,Telefon 031-68 03 50,"Vasagatan 58, 411 37 Göteborg"
Lindfors Invest AB,556848-1377,,"Götavägen 1, 132 37 Saltsjö-Boo"
Made Up North AB,556849-7407,,"Olaigatan 49, 703 61 Örebro"
EN Elizeh Design & Styling AB,556852-6916,,"c/o Nikholm, Viskarhultsvägen 87, 515 35 Viskafors"
Pishgam AB,556853-5933,Telefon 08-534 210 70,"Öregrundsgatan 18 Lgh 1404, 115 59 Stockholm"
A. S. Homeyard AB,556854-8506,,"Gamla Gatan 4, 703 61 Örebro"
Hans Murman Fastighetsutveckling AB,556855-0783,,"Bastugatan 33, 118 25 Stockholm"
UAE Arkitekthus AB,556855-8588,,"Nygårdsvägen, 512 65 Mjöbäck"
Inredningshuset Storavägen AB,556856-0725,,"c/o TIMOTHY GULLBERG, Swedenborgsgatan 30 a, 554 48 Jönköping"
Geton Consulting Aktiebolag,556860-6650,,"Lupinvägen 38, 165 70 Hässelby"
Studio C Jarvas AB,556861-0165,,"Paivljongvägen 2, 132 40 Saltsjö-Boo"
AB Elisabet Elfström,556862-0438,Telefon 070-271 19 70,"Ekehjelmstorget 12, 118 54 Stockholm"
Manosen AB,556862-1931,,"Övre Golfvägen 32, 335 72 Hestra"
Inredning och styling by LR Aktiebolag,556863-2730,,"c/o ANETTE ANNEROTH, Sibyllegatan 44, 114 43 Stockholm"
Obdominus AB,556864-3729,,"Storgatan 41, 903 25 Umeå"
Zander Invest AB,556865-0047,,"Kumla Allé 39 b, 135 53 Tyresö"
BLOMBERG ARKITEKTER AB,556865-5830,Telefon 073-615 05 28,"Trekantsgatan 10, 418 75 Göteborg"
Eliving AB,556868-5571,Telefon 026-14 17 00,"Nobelvägen 2, 802 67 Gävle"
A Ristori i Göteborg AB,556869-8376,,"Föreningsgatan 41, 411 27 Göteborg"
Jesper Husman AB,556870-3903,,"Ravalsvägen 24, 192 67 Sollentuna"
Agila Bron AB,556871-5493,,"Gamla Vägen 7, 170 74 Solna"
Lyftbågen Sverige AB,556872-7605,,"Mossvägen 3, 178 38 Ekerö"
Spinni Plus AB,556873-0427,,"Norra Neptunigatan 23, 211 18 Malmö"
Fredsgatan 12 Nynäshamn AB,556873-8172,,"Hamngatan 9 c Lgh 1203, 149 31 Nynäshamn"
Trädgårdsbyrån AB,556873-8321,,"Viborgska Vägen 12, 122 37 Enskede"
Ferrali Holding AB,556874-9856,,"Brusewitz Väg 23, 136 49 Vega"
Very Very Gold Aktiebolag,556876-3048,,"c/o MM Motivator AB, Storavägen 37, 365 43 Kosta"
Arch Trans Consulting AB,556877-8418,,"Birkagatan 25, 113 39 Stockholm"
MALEVIK DESIGN AB,556877-8756,,"Bröndomevägen 167, 434 79 Vallda"
Slutplattan HAMLO 126848 AB,556878-5348,,"c/o Bolagsstiftarna AB, Box 12086, 402 41 Göteborg"
H&J ARKITEKTER INGENJÖRER AB,556879-7087,,"Slipvägen 17, 973 41 Luleå"
No Speed AB,556882-0046,,"Mariedalsvägen 5, 832 51 Frösön"
J Lindberg konsult och projektering AB,556882-4634,,"Geometrivägen 5, 141 75 Kungens Kurva"
Fastighetsbyrån TSM AB,556886-2642,,"Tingaröd 92, 274 53 Skivarp"
AM Wengelin Förvaltning AB,556886-7765,,"c/o Bokförarn, Olbergavägen 15, 734 92 Hallstahammar"
Östermalms Kommisions Company AB,556886-9514,,Stockholm
Squidpix AB,556887-4167,,"Tegelgatan 15 1001, 703 41 Örebro"
Tridentic adAstrae AB,556887-5800,Telefon 070-838 98 46,"c/o Tridentic Holding AB, Box 3029, 400 10 Göteborg"
Råbom Design AB,556888-4752,,"Kålhagsgatan 32 a, 824 52 Hudiksvall"
grön linje arkitektkontor AB,556888-6344,,"Kungälvsgatan 3 c, 416 69 Göteborg"
A & A Ekholm Arkitektkontor AB,556890-1390,,"Spårsnögatan 37, 226 38 Lund"
WAXBERG ARKITEKTKONTOR AB,556891-2561,,"Lennart Torstensons Gata 10, 541 51 Skövde"
Monkeyplay AB,556891-2892,,"Dalagatan 43, 113 23 Stockholm"
Roomish AB,556892-1752,,Örebro
Gammelhammaren AB,556892-5399,Telefon 026-62 40 30,"Södra Skeppsbron 35, 802 86 Gävle"
Carlquist & Fenger Arkitekter AB,556892-9896,,"Starrbäcksgatan 1 5tr, 172 74 Sundbyberg"
Grane Inredning & Miljö AB,556895-3912,,"Färgaregatan 8, 441 30 Alingsås"
JKM Design AB,556895-8531,,"Höljesvägen 50, 680 65 Höljes"
Laido AB,556896-2210,Telefon 073-385 91 68,"Box 20069, 161 02 Bromma"
Street Monkey Architects AB,556896-6948,,"c/o Bolagspartner avveckling, Box 1067, 221 04 Lund"
Studio Gronverket AB,556898-1780,,"Brunnsåkersbacken 2, 645 93 Strängnäs"
SUBdesign AB,556899-9394,,"c/o Företagssupport i Solna AB, Box 7018, 170 07 Solna"
Archiplan AB,556900-2248,Telefon 076-166 46 47,Örebro
VON OCH COMPANY Aktiebolag,556902-0489,,"Rosengatan 5 a, 413 10 Göteborg"
"Swedes, Svante Westergren Design AB",556903-1528,Telefon 08-652 56 80,"Vilans Väg 3, 182 35 Danderyd"
Desite AB,556903-5297,,"Godhemsgatan 25a, Lgh 1201, 414 70 Göteborg"
CC Living AB,556904-0917,,"Västra Ringvägen 36, 802 67 Gävle"
YCA Filmproduktion AB,556904-3010,,"c/o Ylva Axell, Långa Raden 7, 178 93 Drottningholm"
Pecabo AB,556905-2565,,"Östermalmsgatan 72 2 Tr, 114 50 Stockholm"
JDH Asteri AB,556906-9643,,"c/o JIMMY DIMITRI HENRICSON, Bergsgatan 51 Lgh 1607, 112 31 Stockholm"
Dina Rum Stockholm AB,556907-0914,,"c/o ERIKSSON, Grev Turegatan 65 Lgh 1202, 114 38 Stockholm"
People & Leadership AB,556907-2993,,"Malungsvägen 29, 167 75 Bromma"
Anna Bülow Homestaging & Inredning AB,556908-2547,,"Sjömansgatan 7, 413 15 Göteborg"
Vindögat Arkitekter AB,556908-7470,,"Sturehillsvägen 22 Lgh 1603, 117 56 Stockholm"
JHF i Borås AB,556909-0730,,"Skolgatan 21, 503 33 Borås"
Gamla Enskede Inredning Aktiebolag,556909-7222,Telefon 072-329 17 15,"Stockholmsvägen 19, 122 62 Enskede"
Larsson Fysioterapi & Konsult AB,556909-9061,,"Doktor Abelins Gata 2, 118 53 Stockholm"
Kanozi Sverige AB,556910-8847,,"Järntorget 3, 413 04 Göteborg"
Petra Arkitektur AB,556910-9977,,"Mälarvägen 6, 756 53 Uppsala"
Andreas Palme Arkitektur i Stockholm AB,556913-1831,,"Fyrverkarbacken 21, 112 60 Stockholm"
Wahlström Arkitektur AB,556913-1856,,"Fyrverkarbacken 21, 112 60 Stockholm"
CJ Allkonsult AB,556913-5188,,"Ölme Lerdala 1, 681 94 Kristinehamn"
Johan Granqvist AB,556913-8125,,"Fyrverkarbacken 21, 112 60 Stockholm"
Josefine Dofs Holding AB,556914-0469,,"Brädstigen 2, 784 77 Borlänge"
Kyl och Bygg Skåne AB,556914-5617,,"Gjutformsgatan 8 a, 216 48 Limhamn"
Brand for Sale Ridderstad AB,556915-9253,,"c/o ANETTE RIDDERSTAD, Lövhammarsvägen 34, 444 46 Stenungsund"
CJM Sundell AB,556916-9625,Telefon 070-602 76 75,"Sankt Persgatan 10, 193 32 Sigtuna"
CRT Arkitektur AB,556917-8170,,"Lillsandavägen 14, 645 93 Strängnäs"
Sweark AB,556917-8337,,"Vilans Väg 3, 182 35 Danderyd"
CVF Interior AB,556919-7683,,"Lillmossevägen 12, 663 42 Hammarö"
Mikael Paul Consulting AB,556921-3373,Telefon 070-913 14 45,"c/o MIKAEL PAUL, Raffinadgatan 4 Lgh 1701, 222 35 Lund"
SPH Form AB,556924-4733,,"Topeliusgatan 1 1002, 412 68 Göteborg"
Happiest AB,556927-0530,,"Cedergatan 42, 426 74 Västra Frölunda"
Studio Ljung & Ljung AB,556928-3301,,"Skolgatan 3 b, 172 31 Sundbyberg"
Gadast AB,556928-9613,,"c/o Gadast bygg ab, Sandslåvägen 3, 862 33 Kvissleby"
J Ekdahl Konsult i Lindås AB,556928-9852,,"Lagmanshaga Talludden 1, 514 55 Ljungsarp"
Måleri Fina Hem i Värmland AB,556929-0363,,"Aplungstorp 1, 665 92 Kil"
ITSA Holding AB,556929-4696,,"Parkvägen 7 c, 903 42 Umeå"
Wood People AB,556929-7731,,"Alviksvägen 194, 167 65 Bromma"
M2G Konsult AB,556931-4296,,"Västra Derome 13, 432 68 Veddige"
Björnvägen Holding AB,556931-6564,,"Formvägen 9 b, 906 21 Umeå"
Matilda Lindblom Design och Inredningsarkitektur AB,556931-8081,Telefon 073-352 70 44,"Herrgårdsvägen 20, 331 97 Värnamo"
Murman Fastighetsutveckling AB,556931-8453,,"Peter Myndes Backe 12, 118 46 Stockholm"
Schott Adamietz Arkiform AB,556932-2778,,"Bäckavägen 8, 152 55 Södertälje"
Green Arkitekter AB,556933-7289,,"Anders Sadelmakares Gränd 4, 239 35 Skanör"
Mässing Invest AB,556933-7859,,"Kungsgatan 59, 111 22 Stockholm"
Inbrix AB,556935-4276,,"Sjöhagsvägen 29 a, 125 53 Älvsjö"
FALK arkitektur & projektutveckling AB,556937-3243,Telefon 070-588 66 33,"Källbacken 12 a, 129 40 Hägersten"
Korzan AB,556938-5494,Telefon 08-578 771 00,"c/o Vahid Khorrami Asl, Blyvägen 19, 176 74 Järfälla"
Pincello AB,556939-7101,,"Övre Majorsgatan 14 a, 413 06 Göteborg"
Skapligt AB,556940-1333,,"Industrigatan 6, 621 43 Visby"
Scanditale AB,556940-2083,Telefon 08-756 39 98,"Fasanvägen 21 b, 192 55 Sollentuna"
GlobalVent AB,556941-5879,,"c/o Ugn Restaurangkoncept AB, Kocksgatan 19, 116 24 Stockholm"
Elisabeth N AB,556943-1033,,"Limavägen 8, 167 76 Bromma"
EcoCycleDesign KN AB,556944-6502,,"Kaktusvägen 10, 426 69 Västra Frölunda"
Eva Brodén Lindkvist Holding AB,556945-4654,,"Sibyllegatan 33, 114 42 Stockholm"
Brandbroker AB,556946-1444,,"c/o Kihlstedts Advokatbyrå HB, Box 136, 601 03 Norrköping"
Oddshammar Group AB,556947-3803,Telefon 072-709 57 37,"Vårliden 18, 135 61 Tyresö"
Enkel Inredning i Onsala AB,556947-6483,,"Fjordvägen 6, 439 31 Onsala"
KS-ARK AB,556952-4779,,"Kungsvägen 2, 191 48 Sollentuna"
SC Arkitektur och Planering AB,556952-5669,,"Love Almqvists Väg 4 a, 112 53 Stockholm"
Mint Inredning Holding AB,556952-5925,,"Stortorget 4 e, 831 30 Östersund"
Kurretäppan Invest AB,556954-5121,,"Valhallavägen 131 Lgh 1601, 115 31 Stockholm"
Gartella AB,556955-8058,,"Värmdövägen 730, 132 35 Saltsjö-Boo"
Såkes Allinredning AB,556956-1839,,"Skogsgatan 14, 915 31 Robertsfors"
Caleda AB,556957-3636,,"Hotellplan 6, 760 19 Furusund"
Ludvig Karin Viktor AB,556958-7461,,"Högadalsstigen 1, 431 69 Mölndal"
Snaffle Interior AB,556959-5852,,"Söderled 14 c, 192 73 Sollentuna"
The Nordic Minds AB,556959-8666,,Gustavsberg
Lott's of Sweden AB,556960-4183,,"Johannelundsgatan 2, 426 77 Västra Frölunda"
P. Ehlenberg AB,556961-9959,,"Stora Nygatan 53, 211 37 Malmö"
S3R design AB,556962-8307,,"Esbjörnarp 10, 561 92 Huskvarna"
Groundup Capital AB,556963-2572,,"Liljeholmsvägen 32 Lgh 1705, 117 61 Stockholm"
Björn Skaldemans Marin & Maskin AB,556963-9551,,"Brunnemyrsvägen 6 b, 451 55 Uddevalla"
Bruise Brothers Trading AB,556964-2480,,"Råsundavägen 110, 169 50 Solna"
Hönö Tourist & Fishing AB,556965-5847,,"Dörjevägen 12, 475 45 Fotö"
Salvantum Holding Två AB,556967-1885,,"Rya-Backgarden, 545 95 Moholm"
Anders-Persgården i Järvsö AB,556967-2420,,"Alpvägen 7 a, 827 50 Järvsö"
Elin Viljestrand AB,556969-4903,,"c/o Elin Viljestrand, Källtorpsvägen 73, 136 70 Vendelsö"
Damgaard & Döttrar AB,556970-7192,,"Trumslagargatan 4, 125 34 Älvsjö"
MaGin Consulting AB,556971-0196,,"Bofinksvägen 52, 585 95 Linköping"
Blurred Lines AB,556971-7688,,"Fortvägen 112, 187 68 Täby"
Genuint af Norrland AB,556972-0096,,"Kassjö 10, 905 93 Umeå"
Tobias Kök & Design Holding AB,556973-6027,,"Stockholmsvägen 35, 194 61 Upplands Väsby"
GOMA Bokultur AB,556973-8528,,"Tagenevägen 2, 422 59 Hisings Backa"
Holms Byggteknik AB,556975-0259,,"Vikingabacken 1, 836 71 Ås"
"Scandinavian ark, form and design AB",556976-6966,,"Revingegatan 19 a Lgh 1101, 223 59 Lund"
SEIT AB,556977-1602,,"Låckeredsvägen 18, 462 61 Vänersborg"
LandLab Arkitektur AB,556977-9662,,"c/o Advokatbolaget, Stationsgatan 12, 931 31 Skellefteå"
Storyark Arkitektur & Byggnadsvård AB,556978-7921,,"Stureparken 3, 114 26 Stockholm"
Julia Lauritzen AB,556980-5350,,"Ålandsgatan 3, 411 32 Göteborg"
Arctic factory AB,556980-6564,,"Siegrothsvägen 8, 642 60 Malmköping"
Skepparhagen AB,556980-7059,Telefon 076-629 69 90,"Högbovägen 12 a, 178 38 Ekerö"
01 Moderna Bad AB,556981-0772,,Stockholm
HLO Innovations AB,556982-9715,,"Gotenhofsgatan 4 Lgh 1002, 621 58 Visby"
Asige Optio AB,556983-3121,,"Asige 118, 311 67 Slöinge"
LeiLai AB,556985-3046,,"Allmogevägen 25, 163 45 Spånga"
AsaDuru AB,556988-3118,,"Harpsundsvägen 78, 124 58 Bandhagen"
Anna Hrdlicka AB,556989-0220,,"Lothargatan 18, 621 58 Visby"
Stwosquare AB,556990-3932,,"Björnvägen 10, 181 50 Lidingö"
Bert Andersson Holding AB,556990-7578,,"Ölandsgatan 9, 262 43 Ängelholm"
4 Fix AB,556991-1133,,"c/o Hasselberg, Nolhöjdsvägen 21, 423 63 Torslanda"
C. Amundin AB,556991-1992,,"Herman Ygbergs Väg 10 Lgh 1102, 167 61 Bromma"
Serendipity Humlan AB,556991-5431,,"Tångrevsvägen 1 e, 302 39 Halmstad"
"Nordic Track, Bridge & Tunnel AB",556993-7401,,"Barken Beatrices Gata 2, 417 60 Göteborg"
Basilica Homes AB,556993-9753,,"Hammarby Kaj 18, 120 30 Stockholm"
Nyquist Holdings AB,556994-3813,,"Gråbrödersgatan 4 Lgh 1301, 211 21 Malmö"
Urban Skogmar Arkitektur AB,556994-8101,,"Fredagsgatan 7, 216 19 Malmö"
Wallgren Arkitekter AB,556997-2689,,"Stapelbäddsgatan 18, 211 75 Malmö"
Tågaliden Förvaltning AB,556997-4909,,"Tågaliden 16, 302 93 Halmstad"
Arrgh AB,556997-7290,,"Söderkroken 39, 181 65 Lidingö"
CAVITERA AB,556998-0625,,"Bjärevägen 84, 262 61 Ängelholm"
Lars Magnusson LM Holding AB,556999-2414,,"Upplandsgatan 22, 113 60 Stockholm"
Osseus AB,559000-4148,,"Västerled 6 b, 192 73 Sollentuna"
Reform Arkitekter OL&MB AB,559000-4932,,"Lodbroks Väg 1, 237 31 Bjärred"
Åse Andersson Konsult AB,559000-9675,,"Enköpings-Näs-Väppeby 27, 745 92 Enköping"
Tell Investment AB,559001-0608,,"Odengatan 49, 113 51 Stockholm"
God Arkitektur Granljung AB,559001-3545,,"Trollstigen 20, 972 51 Luleå"
Arkitekt Perlau AB,559003-1687,,"Gamla Kyrkogatan 7, 261 31 Landskrona"
J&M Ritservice AB,559003-2388,,"Kuggåsvägen 15, 383 33 Mönsterås"
What's on top AB,559003-2578,,"Hasseluddsvägen 139, 132 39 Saltsjö-Boo"
Move to success AB,559003-2586,,"Strindbergsgatan 44, 115 31 Stockholm"
topxam AB,559004-7279,,"Södra Förstadsgatan 23 a, 211 43 Malmö"
SuperDuper AB,559005-0190,,"Johan Olof Wallins Väg 17, 171 64 Solna"
CAASI HILOR AB,559005-0216,,"c/o Isaac Haag, Södra Örjansvägen 32, 433 50 Öjersjö"
Hos Sara Frisör AB,559005-6759,,Stockholm
Wondell Project AB,559006-8671,,"Närlundavägen 3, 178 32 Ekerö"
Orangeriet Nella Foresta AB,559007-1469,,"Västanby Skogsbrynet 4027, 716 93 Fjugesta"
Persson Ljus & Arkitektur AB,559007-1543,,"Erstagatan 19 Lgh 1501, 116 36 Stockholm"
Byrån för Arkitektur och Konstruktion Stockholm Hongkong AB,559007-3598,,"Borgarfjordsgatan 3, 164 40 Kista"
Emil Alcut AB,559008-5360,,"c/o Processjuristerna, Box 7628, 103 94 Stockholm"
FIRST family & friends AB,559012-1819,,"Klostergatan 25, 645 30 Strängnäs"
Ebba Bonnier AB,559012-2718,,"c/o EBBA BONNIER, Lokevägen 25 e, 182 61 Djursholm"
elimech AB,559013-2956,,"Flugsnappargatan 10, 724 72 Västerås"
House 2 Home AB,559013-8078,,"Fagerstrand 71 b, 165 71 Hässelby"
Gimdal Holding AB,559013-9456,,"Södra Borgvägen 29, 441 74 Sollebrunn"
Lusitan Architecture AB,559017-2283,,"Sankt Eriksgatan 41 B0109, 112 34 Stockholm"
Garden Design Saltsjöbaden AB,559017-9981,,"Freyvägen 14, 133 38 Saltsjöbaden"
Andersson & Falk AB,559018-3942,,"Essingestråket 37, 112 66 Stockholm"
Done Doer 249 AB,559018-5806,,"Tillfällavägen 15, 433 63 Sävedalen"
L2 Estate AB,559019-1119,,"Kristinelundsvägen 14, 186 52 Vallentuna"
Pixero AB,559019-3834,,"Malmborg Drottninggatan 88 f, 111 36 Stockholm"
Puskás Arkitekter AB,559019-7728,,"Skördevägen 11, 141 70 Segeltorp"
Arkitekt Odd Aanesen AB,559020-0084,,"Björnen Örnen 36 b, 837 97 Åre"
Stiligt Gruppen Aktiebolag,559020-2924,,"Kungsladugårdsgatan 113 b, 414 76 Göteborg"
Nulltj Design AB,559020-8574,,"c/o Johanna Rosenberg, Härön Tryckhålet 197, 471 90 Kyrkesund"
Nojiri Förvaltning 1 AB,559021-2055,,"Svartbäcksgatan 10, 753 20 Uppsala"
Langfeldt & Jensen Villa AB,559022-1064,,"Solglimtsvägen 8 a, 423 53 Torslanda"
J-Haglund Interiör & Consult AB,559024-3134,,"Johannas Väg 3, 512 91 Sexdrega"
M4T Markim AB,559026-2597,,"Postiljonsvägen 33, 122 47 Enskede"
KOLAAS LANDSKAPSARKITEKTUR Aktiebolag,559026-7307,,"Tunnbindaregatan 4, 227 36 Lund"
Almdy Fastighetsutveckling AB,559027-8817,,"Vidkärrsvägen 51, 442 50 Ytterby"
Vallmona AB,559027-9757,,"Knäpparvägen 12, 125 57 Älvsjö"
Front Foot Consulting AB,559028-6836,Telefon 070-799 91 58,"Cirkusstigen 5, 603 83 Norrköping"
Petal Fastigheter AB,559030-2542,,"Sollentunavägen 163 c, 191 47 Sollentuna"
Melin och Melin Arkitekter AB,559032-4918,,"Bärstavägen 32, 663 44 Hammarö"
Kröhnert Fastigheter AB,559035-7561,,"Norra Rosenbergsgatan 12, 426 76 Västra Frölunda"
Galaxy Rekreation AB,559036-4047,,"Box 49151, 100 29 Stockholm"
Graf mfl management & fastighetsutveckling i Stockholm AB,559037-5175,,"Tulegatan 20, 113 53 Stockholm"
Åre Hills AB,559038-2098,,"Lillskogsvändan 17, 139 54 Värmdö"
Happy Architects AB,559038-5612,,"Urdavägen 6, 554 47 Jönköping"
Gröna stugan Förvaltning AB,559038-8715,,"Centralgatan 58, 149 40 Nynäshamn"
Therese Wessling AB,559039-9829,,"Skinnarbastuvägen 5, 811 94 Sandviken"
H Wass Bygg & Kök AB,559040-1419,,"Getaryggsvägen 26, 541 54 Skövde"
Kenani Projektledning AB,559041-4057,,"Sörgårdsgatan 17, 431 67 Mölndal"
KAHO Studio AB,559042-5558,,"Oganvägen 10 a, 153 95 Järna"
Access Design AB,559043-6936,,"Plantskolevägen 22, 122 38 Enskede"
Swedish Nature Collaborations AB,559043-8783,,"Bollhusgränd 6, 111 31 Stockholm"
